,crop,Soil_Type,Pesticide_Use_Category,Season,rainfall,Crop_Damage
3428,1,1,Lamba-Cyhalothrin,1,117,94
3429,0,1,Lamba-Cyhalothrin,2,126,85
3430,1,1,Amidosulfuron,3,291,84
3431,1,1,Amidosulfuron,2,70,97
3432,1,1,Chlormequat,3,234,98
3433,1,1,Amidosulfuron,1,215,83
3434,0,1,Amidosulfuron,3,66,85
3435,0,1,Chlormequat,2,166,85
3436,0,1,Lamba-Cyhalothrin,1,151,88
3437,0,0,Chlormequat,1,116,89
3438,1,1,Chlormequat,3,160,87
3439,0,1,Chlormequat,1,267,88
3440,0,1,Lamba-Cyhalothrin,3,174,82
3441,1,0,Lamba-Cyhalothrin,1,171,94
3442,0,1,Amidosulfuron,2,241,93
3443,0,0,Chlormequat,3,212,86
3444,0,0,Chlormequat,3,239,91
3445,0,1,Amidosulfuron,2,82,95
3446,0,0,Lamba-Cyhalothrin,2,291,98
3447,1,1,Lamba-Cyhalothrin,2,152,98
3448,0,0,Chlormequat,3,227,80
3449,0,1,Amidosulfuron,1,144,90
3450,0,0,Amidosulfuron,1,228,84
3451,1,1,Lamba-Cyhalothrin,3,137,86
3452,1,1,Amidosulfuron,3,79,97
3453,0,0,Chlormequat,2,113,88
3454,0,1,Chlormequat,3,66,80
3455,1,1,Amidosulfuron,2,247,84
3456,0,1,Lamba-Cyhalothrin,3,95,83
3457,0,0,Amidosulfuron,1,243,81
3458,0,0,Amidosulfuron,2,220,95
3459,0,1,Amidosulfuron,1,260,91
3460,0,1,Amidosulfuron,3,262,82
3461,1,0,Lamba-Cyhalothrin,2,78,81
3462,0,0,Chlormequat,1,201,91
3463,1,0,Amidosulfuron,2,188,93
3464,1,0,Lamba-Cyhalothrin,1,200,81
3465,1,0,Chlormequat,2,201,80
3466,0,1,Lamba-Cyhalothrin,3,124,83
3467,1,0,Amidosulfuron,3,296,94
3468,0,1,Amidosulfuron,2,249,89
3469,0,1,Chlormequat,1,134,82
3470,0,0,Chlormequat,1,80,97
3471,1,0,Amidosulfuron,3,277,99
3472,1,0,Lamba-Cyhalothrin,1,133,94
3473,0,0,Amidosulfuron,3,190,87
3474,1,1,Lamba-Cyhalothrin,3,122,96
3475,0,1,Lamba-Cyhalothrin,3,225,81
3476,1,1,Chlormequat,1,197,90
3477,0,0,Chlormequat,3,164,85
3478,0,0,Chlormequat,3,143,87
3479,0,0,Lamba-Cyhalothrin,2,219,90
3480,0,1,Amidosulfuron,2,165,98
3481,0,0,Chlormequat,1,208,99
3482,0,0,Chlormequat,1,275,96
3483,1,1,Amidosulfuron,1,198,93
3484,0,0,Chlormequat,2,269,95
3485,0,0,Chlormequat,2,141,92
3486,1,0,Amidosulfuron,3,168,98
3487,1,0,Chlormequat,1,135,91
3488,0,1,Chlormequat,2,95,83
3489,0,0,Chlormequat,1,261,84
3490,0,1,Amidosulfuron,1,189,99
3491,1,1,Chlormequat,3,235,81
3492,0,1,Lamba-Cyhalothrin,1,100,89
3493,1,0,Amidosulfuron,3,98,96
3494,0,0,Chlormequat,1,177,91
3495,1,1,Chlormequat,2,152,81
3496,1,0,Lamba-Cyhalothrin,1,158,93
3497,1,0,Lamba-Cyhalothrin,2,108,89
3498,1,0,Chlormequat,1,240,82
3499,0,1,Amidosulfuron,3,253,88
3500,0,1,Chlormequat,1,180,97
3501,1,0,Lamba-Cyhalothrin,1,82,84
3502,0,0,Amidosulfuron,1,270,94
3503,0,1,Chlormequat,1,213,96
3504,1,1,Amidosulfuron,1,128,89
3505,1,1,Chlormequat,1,277,83
3506,0,0,Amidosulfuron,2,223,94
3507,1,0,Amidosulfuron,1,229,82
3508,0,0,Lamba-Cyhalothrin,2,201,96
3509,0,0,Lamba-Cyhalothrin,1,256,87
3510,0,0,Chlormequat,3,222,91
3511,0,1,Amidosulfuron,1,85,97
3512,1,0,Lamba-Cyhalothrin,1,114,90
3513,1,1,Lamba-Cyhalothrin,2,228,86
3514,0,1,Lamba-Cyhalothrin,2,118,86
3515,0,1,Chlormequat,1,267,88
3516,0,0,Chlormequat,2,136,85
3517,0,0,Chlormequat,2,167,80
3518,1,0,Chlormequat,3,119,91
3519,1,0,Chlormequat,2,70,99
3520,1,1,Amidosulfuron,2,127,83
3521,1,1,Amidosulfuron,1,189,83
3522,1,1,Chlormequat,3,140,91
3523,1,1,Lamba-Cyhalothrin,3,177,89
3524,1,0,Lamba-Cyhalothrin,2,174,84
3525,1,0,Amidosulfuron,2,142,82
3526,0,0,Amidosulfuron,3,90,83
3527,0,0,Amidosulfuron,2,137,88
3528,0,1,Lamba-Cyhalothrin,1,222,89
3529,0,1,Amidosulfuron,3,281,90
3530,0,0,Amidosulfuron,1,290,82
3531,1,0,Chlormequat,1,262,83
3532,1,1,Lamba-Cyhalothrin,3,75,96
3533,1,0,Amidosulfuron,2,102,82
3534,1,1,Chlormequat,2,133,96
3535,0,0,Lamba-Cyhalothrin,2,112,93
3536,0,0,Lamba-Cyhalothrin,3,159,90
3537,1,0,Amidosulfuron,3,169,97
3538,1,0,Amidosulfuron,1,111,94
3539,0,1,Amidosulfuron,3,189,87
3540,0,1,Chlormequat,1,138,92
3541,1,1,Lamba-Cyhalothrin,2,149,92
3542,0,0,Chlormequat,3,187,88
3543,0,1,Lamba-Cyhalothrin,2,124,80
3544,0,1,Chlormequat,2,204,92
3545,0,0,Chlormequat,1,204,90
3546,0,0,Chlormequat,1,205,83
3547,1,0,Chlormequat,3,103,99
3548,1,0,Chlormequat,1,141,96
3549,0,0,Chlormequat,2,252,90
3550,0,1,Chlormequat,1,103,93
3551,0,0,Lamba-Cyhalothrin,1,158,92
3552,0,1,Chlormequat,1,279,80
3553,1,0,Amidosulfuron,3,206,90
3554,0,0,Amidosulfuron,2,149,98
3555,0,1,Amidosulfuron,1,112,96
3556,0,1,Chlormequat,2,126,97
3557,0,1,Lamba-Cyhalothrin,2,260,93
3558,0,1,Amidosulfuron,1,157,87
3559,0,1,Chlormequat,1,273,94
3560,0,0,Amidosulfuron,3,265,80
3561,1,1,Chlormequat,2,131,90
3562,1,1,Chlormequat,1,183,96
3563,0,1,Amidosulfuron,2,209,92
3564,0,0,Chlormequat,3,156,91
3565,1,0,Lamba-Cyhalothrin,2,282,86
3566,1,0,Chlormequat,3,71,95
3567,0,0,Amidosulfuron,3,154,99
3568,0,0,Lamba-Cyhalothrin,1,285,82
3569,0,0,Lamba-Cyhalothrin,1,104,91
3570,0,1,Amidosulfuron,1,137,82
3571,1,0,Lamba-Cyhalothrin,2,277,90
3572,1,1,Amidosulfuron,2,293,89
3573,1,1,Lamba-Cyhalothrin,1,106,82
3574,1,1,Amidosulfuron,3,165,99
3575,0,1,Amidosulfuron,3,257,96
3576,1,0,Chlormequat,2,124,89
3577,1,0,Lamba-Cyhalothrin,2,115,87
3578,1,1,Chlormequat,2,240,91
3579,0,0,Amidosulfuron,2,147,88
3580,0,1,Lamba-Cyhalothrin,1,192,91
3581,1,1,Chlormequat,1,149,90
3582,0,0,Lamba-Cyhalothrin,3,228,80
3583,1,1,Chlormequat,3,97,83
3584,1,1,Lamba-Cyhalothrin,1,70,85
3585,0,0,Chlormequat,2,256,85
3586,1,1,Lamba-Cyhalothrin,3,108,80
3587,0,0,Chlormequat,3,107,87
3588,0,1,Amidosulfuron,2,288,97
3589,1,0,Chlormequat,2,97,85
3590,0,1,Amidosulfuron,3,216,83
3591,1,1,Amidosulfuron,2,227,98
3592,0,1,Lamba-Cyhalothrin,3,143,84
3593,0,0,Chlormequat,3,176,94
3594,0,1,Chlormequat,3,294,96
3595,0,1,Chlormequat,1,223,80
3596,0,0,Lamba-Cyhalothrin,3,273,99
3597,1,1,Chlormequat,1,71,85
3598,1,1,Chlormequat,2,118,92
3599,0,1,Chlormequat,1,82,82
3600,0,1,Chlormequat,1,205,80
3601,0,0,Chlormequat,3,220,90
3602,1,1,Lamba-Cyhalothrin,3,227,86
3603,1,0,Chlormequat,3,242,80
3604,1,1,Lamba-Cyhalothrin,1,194,93
3605,0,1,Lamba-Cyhalothrin,1,162,85
3606,1,1,Chlormequat,3,182,85
3607,0,1,Chlormequat,1,202,88
3608,1,0,Chlormequat,3,101,82
3609,0,1,Chlormequat,1,271,85
3610,0,0,Lamba-Cyhalothrin,3,255,82
3611,1,0,Chlormequat,2,238,86
3612,0,1,Lamba-Cyhalothrin,2,223,85
3613,0,1,Chlormequat,3,208,88
3614,0,0,Lamba-Cyhalothrin,1,111,82
3615,1,1,Amidosulfuron,3,262,83
3616,0,0,Chlormequat,2,227,99
3617,1,1,Chlormequat,1,243,93
3618,1,0,Lamba-Cyhalothrin,2,295,81
3619,0,1,Lamba-Cyhalothrin,3,224,89
3620,1,0,Lamba-Cyhalothrin,3,243,91
3621,1,1,Amidosulfuron,3,216,92
3622,0,0,Chlormequat,1,132,96
3623,1,1,Chlormequat,3,155,83
3624,1,1,Amidosulfuron,2,107,86
3625,0,1,Chlormequat,2,291,96
3626,1,0,Lamba-Cyhalothrin,3,116,81
3627,1,1,Chlormequat,3,122,89
3628,1,0,Lamba-Cyhalothrin,3,154,91
3629,0,1,Lamba-Cyhalothrin,1,95,98
3630,0,1,Lamba-Cyhalothrin,3,152,92
3631,0,0,Lamba-Cyhalothrin,3,116,83
3632,0,0,Chlormequat,2,211,83
3633,0,0,Amidosulfuron,2,186,97
3634,1,1,Lamba-Cyhalothrin,1,197,99
3635,1,1,Chlormequat,2,186,99
3636,1,0,Amidosulfuron,2,176,87
3637,0,1,Amidosulfuron,3,257,83
3638,1,0,Chlormequat,1,238,83
3639,1,1,Chlormequat,3,123,91
3640,0,0,Chlormequat,1,168,95
3641,0,0,Chlormequat,2,248,86
3642,0,1,Lamba-Cyhalothrin,3,70,85
3643,0,1,Amidosulfuron,3,253,98
3644,0,1,Lamba-Cyhalothrin,1,70,98
3645,0,0,Lamba-Cyhalothrin,3,266,87
3646,0,1,Amidosulfuron,3,176,80
3647,1,1,Lamba-Cyhalothrin,1,133,88
3648,1,0,Lamba-Cyhalothrin,1,157,96
3649,0,1,Amidosulfuron,2,230,91
3650,1,0,Lamba-Cyhalothrin,3,121,80
3651,0,1,Lamba-Cyhalothrin,2,186,92
3652,0,0,Amidosulfuron,2,145,82
3653,0,1,Amidosulfuron,1,252,98
3654,1,1,Amidosulfuron,1,276,85
3655,1,0,Amidosulfuron,2,71,99
3656,1,0,Chlormequat,2,194,87
3657,1,0,Amidosulfuron,2,296,87
3658,0,0,Lamba-Cyhalothrin,3,135,81
3659,1,0,Chlormequat,1,259,83
3660,0,1,Amidosulfuron,3,186,85
3661,0,0,Chlormequat,3,158,97
3662,0,1,Lamba-Cyhalothrin,3,277,82
3663,0,0,Amidosulfuron,1,68,80
3664,0,1,Amidosulfuron,1,252,97
3665,0,0,Amidosulfuron,3,205,85
3666,0,1,Amidosulfuron,3,108,95
3667,0,1,Chlormequat,1,107,88
3668,1,1,Amidosulfuron,1,250,93
3669,1,0,Chlormequat,3,117,86
3670,1,1,Chlormequat,2,254,92
3671,1,1,Lamba-Cyhalothrin,1,112,90
3672,1,0,Amidosulfuron,1,210,89
3673,1,0,Lamba-Cyhalothrin,2,239,99
3674,1,1,Chlormequat,1,74,98
3675,0,0,Chlormequat,2,224,91
3676,1,1,Lamba-Cyhalothrin,1,95,92
3677,0,1,Amidosulfuron,1,273,90
3678,0,1,Chlormequat,2,297,87
3679,0,0,Chlormequat,1,206,93
3680,0,1,Amidosulfuron,1,77,91
3681,0,0,Chlormequat,2,159,98
3682,0,1,Amidosulfuron,3,148,90
3683,1,0,Lamba-Cyhalothrin,1,74,84
3684,1,0,Amidosulfuron,3,144,94
3685,0,1,Lamba-Cyhalothrin,1,260,81
3686,0,0,Amidosulfuron,3,231,80
3687,0,1,Amidosulfuron,3,276,88
3688,0,0,Chlormequat,1,197,89
3689,0,1,Amidosulfuron,1,228,84
3690,0,1,Chlormequat,3,293,83
3691,0,1,Amidosulfuron,3,104,94
3692,0,0,Chlormequat,2,213,93
3693,0,1,Chlormequat,1,147,96
3694,1,1,Chlormequat,3,90,92
3695,1,1,Amidosulfuron,1,254,91
3696,0,1,Chlormequat,3,97,84
3697,0,1,Amidosulfuron,2,287,95
3698,1,0,Amidosulfuron,2,269,87
3699,1,1,Amidosulfuron,1,179,93
3700,0,0,Lamba-Cyhalothrin,1,238,83
3701,1,1,Amidosulfuron,3,110,99
3702,0,0,Lamba-Cyhalothrin,1,92,90
3703,1,0,Lamba-Cyhalothrin,2,195,84
3704,0,1,Lamba-Cyhalothrin,1,215,94
3705,0,1,Chlormequat,2,287,96
3706,0,1,Lamba-Cyhalothrin,3,220,84
3707,1,1,Chlormequat,3,103,97
3708,0,1,Chlormequat,1,190,97
3709,0,0,Chlormequat,3,155,88
3710,1,1,Amidosulfuron,1,102,84
3711,1,0,Lamba-Cyhalothrin,3,286,85
3712,1,0,Amidosulfuron,3,285,93
3713,0,1,Amidosulfuron,2,251,88
3714,1,0,Chlormequat,3,251,89
3715,0,0,Amidosulfuron,2,61,82
3716,1,1,Amidosulfuron,1,137,87
3717,1,1,Chlormequat,3,243,97
3718,0,1,Amidosulfuron,2,98,84
3719,1,1,Amidosulfuron,1,203,94
3720,0,1,Lamba-Cyhalothrin,3,126,97
3721,0,1,Chlormequat,3,124,97
3722,0,0,Chlormequat,3,167,83
3723,1,0,Chlormequat,1,276,85
3724,1,1,Amidosulfuron,1,155,93
3725,0,0,Chlormequat,1,260,80
3726,0,1,Chlormequat,1,114,86
3727,1,0,Chlormequat,1,70,95
3728,1,1,Lamba-Cyhalothrin,3,258,96
3729,0,0,Amidosulfuron,1,64,83
3730,0,0,Chlormequat,1,240,97
3731,1,1,Chlormequat,2,145,97
3732,1,0,Lamba-Cyhalothrin,3,105,84
3733,0,1,Chlormequat,3,185,88
3734,0,1,Lamba-Cyhalothrin,3,175,94
3735,1,1,Lamba-Cyhalothrin,3,241,99
3736,0,1,Lamba-Cyhalothrin,3,279,81
3737,1,0,Amidosulfuron,1,123,81
3738,0,0,Amidosulfuron,3,98,80
3739,1,0,Lamba-Cyhalothrin,1,172,80
3740,0,1,Amidosulfuron,3,274,99
3741,0,1,Amidosulfuron,1,195,80
3742,0,0,Lamba-Cyhalothrin,3,193,80
3743,1,0,Lamba-Cyhalothrin,2,160,90
3744,1,0,Lamba-Cyhalothrin,3,66,83
3745,0,1,Chlormequat,2,220,90
3746,0,0,Amidosulfuron,1,235,83
3747,1,0,Chlormequat,3,266,86
3748,0,1,Amidosulfuron,2,248,98
3749,0,0,Amidosulfuron,3,169,93
3750,1,1,Chlormequat,2,75,95
3751,0,0,Amidosulfuron,2,133,89
3752,0,1,Chlormequat,1,212,91
3753,0,0,Amidosulfuron,2,185,99
3754,1,1,Amidosulfuron,1,227,81
3755,1,1,Chlormequat,1,201,92
3756,1,0,Chlormequat,1,132,87
3757,0,0,Lamba-Cyhalothrin,1,126,96
3758,0,0,Chlormequat,3,159,80
3759,1,1,Amidosulfuron,1,295,89
3760,1,0,Amidosulfuron,2,97,86
3761,0,0,Amidosulfuron,3,80,94
3762,0,0,Amidosulfuron,3,112,83
3763,0,1,Amidosulfuron,3,202,80
3764,0,1,Lamba-Cyhalothrin,2,78,90
3765,1,1,Amidosulfuron,3,114,90
3766,0,1,Amidosulfuron,3,181,97
3767,1,0,Lamba-Cyhalothrin,2,175,95
3768,1,1,Chlormequat,1,128,83
3769,1,1,Chlormequat,1,162,89
3770,0,0,Lamba-Cyhalothrin,1,264,99
3771,0,1,Lamba-Cyhalothrin,2,96,81
3772,0,1,Chlormequat,1,153,83
3773,1,1,Chlormequat,2,107,95
3774,0,1,Chlormequat,3,219,92
3775,1,0,Chlormequat,3,143,80
3776,1,1,Lamba-Cyhalothrin,3,189,83
3777,1,1,Chlormequat,2,136,95
3778,1,1,Chlormequat,2,65,91
3779,1,0,Lamba-Cyhalothrin,1,72,92
3780,0,0,Lamba-Cyhalothrin,3,82,96
3781,1,1,Chlormequat,2,70,85
3782,1,0,Lamba-Cyhalothrin,2,265,80
3783,0,0,Chlormequat,1,164,80
3784,1,1,Amidosulfuron,3,280,85
3785,0,1,Chlormequat,1,214,99
3786,0,0,Chlormequat,1,104,92
3787,1,1,Lamba-Cyhalothrin,3,232,92
3788,1,0,Chlormequat,2,259,98
3789,0,1,Lamba-Cyhalothrin,3,235,98
3790,0,1,Amidosulfuron,3,271,92
3791,0,0,Amidosulfuron,1,251,82
3792,1,0,Amidosulfuron,1,288,84
3793,0,1,Lamba-Cyhalothrin,1,217,97
3794,0,1,Amidosulfuron,3,141,87
3795,0,1,Chlormequat,1,285,83
3796,1,0,Lamba-Cyhalothrin,3,250,93
3797,0,0,Chlormequat,3,288,91
3798,1,1,Amidosulfuron,1,274,92
3799,1,1,Lamba-Cyhalothrin,2,215,94
3800,1,1,Amidosulfuron,2,182,81
3801,0,0,Amidosulfuron,1,225,90
3802,0,1,Chlormequat,3,294,87
3803,0,1,Amidosulfuron,3,288,94
3804,0,1,Lamba-Cyhalothrin,1,67,96
3805,0,1,Chlormequat,3,156,87
3806,1,0,Lamba-Cyhalothrin,1,269,90
3807,0,1,Chlormequat,3,144,99
3808,0,0,Amidosulfuron,3,144,91
3809,0,0,Lamba-Cyhalothrin,2,267,80
3810,1,0,Chlormequat,2,126,97
3811,1,0,Lamba-Cyhalothrin,3,209,93
3812,1,1,Amidosulfuron,3,285,90
3813,1,0,Amidosulfuron,2,218,99
3814,0,1,Amidosulfuron,1,172,87
3815,1,0,Lamba-Cyhalothrin,3,118,84
3816,0,0,Chlormequat,2,248,81
3817,1,1,Chlormequat,2,222,96
3818,1,1,Chlormequat,2,90,98
3819,1,0,Lamba-Cyhalothrin,3,106,95
3820,1,0,Lamba-Cyhalothrin,2,291,93
3821,1,0,Lamba-Cyhalothrin,2,171,89
3822,0,0,Chlormequat,1,283,98
3823,0,1,Amidosulfuron,2,254,97
3824,0,0,Amidosulfuron,2,168,87
3825,0,0,Chlormequat,2,231,96
3826,1,0,Chlormequat,3,267,94
3827,0,0,Chlormequat,1,262,86
3828,0,0,Lamba-Cyhalothrin,3,282,82
3829,1,1,Amidosulfuron,1,229,86
3830,1,0,Amidosulfuron,3,92,97
3831,1,1,Chlormequat,3,109,86
3832,0,0,Lamba-Cyhalothrin,1,149,86
3833,1,0,Chlormequat,1,269,80
3834,1,0,Amidosulfuron,2,235,98
3835,1,1,Amidosulfuron,2,146,92
3836,0,0,Chlormequat,2,292,86
3837,1,0,Lamba-Cyhalothrin,1,226,83
3838,0,0,Amidosulfuron,2,249,84
3839,1,1,Lamba-Cyhalothrin,2,78,82
3840,0,1,Lamba-Cyhalothrin,3,243,84
3841,0,1,Lamba-Cyhalothrin,3,142,87
3842,1,0,Amidosulfuron,1,90,89
3843,0,0,Amidosulfuron,3,231,89
3844,1,1,Amidosulfuron,3,180,96
3845,0,1,Chlormequat,1,81,90
3846,1,0,Lamba-Cyhalothrin,1,235,87
3847,1,0,Chlormequat,2,185,99
3848,1,1,Amidosulfuron,3,144,98
3849,0,1,Amidosulfuron,3,232,84
3850,1,0,Lamba-Cyhalothrin,2,258,81
3851,0,0,Amidosulfuron,3,285,97
3852,1,0,Amidosulfuron,1,148,90
3853,0,0,Chlormequat,2,148,97
3854,1,0,Amidosulfuron,2,133,85
3855,1,1,Chlormequat,1,80,83
3856,1,1,Amidosulfuron,3,105,97
3857,1,1,Amidosulfuron,2,128,97
3858,0,0,Chlormequat,3,276,98
3859,1,0,Lamba-Cyhalothrin,2,185,98
3860,0,1,Amidosulfuron,2,279,95
3861,1,1,Amidosulfuron,3,270,89
3862,0,0,Lamba-Cyhalothrin,2,247,91
3863,0,1,Chlormequat,2,178,90
3864,0,1,Amidosulfuron,1,109,91
3865,0,0,Lamba-Cyhalothrin,1,290,87
3866,0,1,Lamba-Cyhalothrin,1,267,90
3867,1,1,Amidosulfuron,3,252,90
3868,0,0,Chlormequat,3,293,88
3869,1,1,Chlormequat,2,179,99
3870,1,0,Amidosulfuron,3,262,96
3871,1,1,Chlormequat,2,90,82
3872,0,0,Chlormequat,2,204,83
3873,0,1,Chlormequat,1,110,85
3874,1,0,Lamba-Cyhalothrin,3,142,85
3875,0,0,Chlormequat,3,197,80
3876,1,0,Amidosulfuron,2,81,88
3877,0,1,Amidosulfuron,2,255,98
3878,0,1,Amidosulfuron,2,91,89
3879,0,1,Lamba-Cyhalothrin,3,289,97
3880,1,1,Lamba-Cyhalothrin,2,225,96
3881,1,1,Lamba-Cyhalothrin,1,283,93
3882,0,0,Chlormequat,3,219,98
3883,0,0,Amidosulfuron,2,207,94
3884,1,0,Amidosulfuron,1,94,92
3885,1,1,Lamba-Cyhalothrin,1,242,81
3886,0,0,Lamba-Cyhalothrin,3,200,92
3887,1,1,Lamba-Cyhalothrin,2,239,86
3888,0,0,Lamba-Cyhalothrin,2,87,89
3889,0,1,Amidosulfuron,2,85,98
3890,1,0,Lamba-Cyhalothrin,2,62,87
3891,1,0,Chlormequat,1,289,96
3892,0,0,Lamba-Cyhalothrin,1,261,89
3893,1,0,Amidosulfuron,2,208,97
3894,1,1,Amidosulfuron,2,131,81
3895,1,1,Amidosulfuron,1,64,96
3896,0,1,Chlormequat,3,198,93
3897,1,1,Lamba-Cyhalothrin,1,118,94
3898,1,1,Lamba-Cyhalothrin,2,123,97
3899,0,1,Amidosulfuron,2,62,91
3900,1,1,Amidosulfuron,1,266,88
3901,0,0,Lamba-Cyhalothrin,2,247,90
3902,1,1,Lamba-Cyhalothrin,2,266,98
3903,1,0,Chlormequat,1,197,84
3904,0,0,Amidosulfuron,2,195,85
3905,1,1,Amidosulfuron,2,146,83
3906,0,1,Chlormequat,3,162,90
3907,0,1,Amidosulfuron,1,229,82
3908,0,1,Lamba-Cyhalothrin,3,118,98
3909,0,1,Amidosulfuron,2,111,91
3910,0,1,Chlormequat,3,248,94
3911,0,1,Lamba-Cyhalothrin,1,114,91
3912,1,1,Amidosulfuron,3,252,80
3913,1,1,Lamba-Cyhalothrin,2,103,82
3914,0,1,Lamba-Cyhalothrin,3,173,82
3915,0,1,Chlormequat,1,281,89
3916,1,1,Lamba-Cyhalothrin,1,274,92
3917,0,1,Lamba-Cyhalothrin,2,265,95
3918,1,0,Chlormequat,1,144,81
3919,1,0,Chlormequat,2,87,80
3920,0,0,Chlormequat,2,166,82
3921,0,1,Amidosulfuron,2,260,84
3922,1,0,Lamba-Cyhalothrin,1,196,87
3923,1,1,Lamba-Cyhalothrin,3,173,92
3924,0,0,Lamba-Cyhalothrin,1,97,81
3925,1,0,Lamba-Cyhalothrin,1,218,85
3926,0,0,Chlormequat,1,75,91
3927,0,0,Amidosulfuron,1,182,99
3928,1,0,Chlormequat,1,129,83
3929,0,1,Lamba-Cyhalothrin,2,140,93
3930,1,0,Amidosulfuron,2,207,92
3931,1,0,Amidosulfuron,1,140,90
3932,0,1,Amidosulfuron,1,113,91
3933,0,1,Chlormequat,3,275,84
3934,1,1,Chlormequat,2,166,89
3935,1,1,Lamba-Cyhalothrin,1,187,94
3936,1,1,Lamba-Cyhalothrin,1,124,98
3937,0,1,Amidosulfuron,2,83,89
3938,0,0,Chlormequat,3,97,89
3939,1,1,Chlormequat,1,150,93
3940,0,0,Amidosulfuron,3,212,90
3941,0,1,Amidosulfuron,2,180,85
3942,0,0,Chlormequat,3,279,89
3943,0,1,Chlormequat,1,171,86
3944,0,0,Amidosulfuron,2,222,96
3945,0,0,Amidosulfuron,2,272,99
3946,1,1,Lamba-Cyhalothrin,2,127,86
3947,0,1,Chlormequat,1,211,98
3948,0,1,Chlormequat,2,190,97
3949,1,1,Chlormequat,1,133,80
3950,1,0,Amidosulfuron,2,152,97
3951,1,1,Amidosulfuron,3,122,87
3952,1,0,Lamba-Cyhalothrin,2,72,86
3953,0,1,Chlormequat,3,250,97
3954,0,0,Lamba-Cyhalothrin,1,267,99
3955,1,1,Lamba-Cyhalothrin,2,177,80
3956,0,1,Lamba-Cyhalothrin,1,271,83
3957,1,0,Chlormequat,3,237,85
3958,0,1,Lamba-Cyhalothrin,3,222,91
3959,1,1,Chlormequat,2,285,92
3960,1,0,Chlormequat,1,137,93
3961,0,0,Chlormequat,2,205,88
3962,1,0,Chlormequat,2,245,97
3963,0,0,Amidosulfuron,1,278,97
3964,1,1,Lamba-Cyhalothrin,2,138,92
3965,1,0,Amidosulfuron,2,77,86
3966,1,1,Chlormequat,1,236,96
3967,0,1,Amidosulfuron,2,141,92
3968,1,0,Chlormequat,2,277,86
3969,0,1,Amidosulfuron,1,125,80
3970,0,0,Lamba-Cyhalothrin,1,68,93
3971,0,0,Lamba-Cyhalothrin,3,204,84
3972,1,1,Amidosulfuron,2,225,99
3973,1,0,Amidosulfuron,1,156,85
3974,1,0,Chlormequat,3,164,85
3975,0,1,Chlormequat,1,204,91
3976,1,1,Amidosulfuron,3,230,86
3977,0,1,Amidosulfuron,2,218,95
3978,0,1,Chlormequat,3,80,96
3979,0,0,Chlormequat,1,176,98
3980,1,1,Lamba-Cyhalothrin,1,133,93
3981,0,0,Lamba-Cyhalothrin,1,212,89
3982,1,0,Amidosulfuron,1,63,88
3983,0,0,Amidosulfuron,1,208,92
3984,1,1,Amidosulfuron,1,230,89
3985,0,1,Chlormequat,1,200,97
3986,0,1,Amidosulfuron,1,131,90
3987,0,1,Lamba-Cyhalothrin,1,238,96
3988,0,1,Lamba-Cyhalothrin,1,223,90
3989,1,1,Chlormequat,3,180,86
3990,1,0,Chlormequat,2,117,88
3991,0,0,Chlormequat,3,279,96
3992,1,0,Lamba-Cyhalothrin,3,221,87
3993,0,1,Lamba-Cyhalothrin,3,174,85
3994,0,1,Amidosulfuron,3,267,97
3995,1,0,Lamba-Cyhalothrin,1,236,99
3996,0,0,Amidosulfuron,2,158,84
3997,1,1,Chlormequat,1,128,84
3998,0,0,Amidosulfuron,3,95,90
3999,1,1,Lamba-Cyhalothrin,3,241,91
4000,1,0,Chlormequat,2,141,80
4001,0,0,Amidosulfuron,2,154,85
4002,1,1,Lamba-Cyhalothrin,1,175,81
4003,1,1,Chlormequat,1,236,85
4004,1,1,Chlormequat,2,168,91
4005,0,1,Chlormequat,1,110,90
4006,0,1,Lamba-Cyhalothrin,3,107,84
4007,0,0,Amidosulfuron,3,186,84
4008,0,1,Amidosulfuron,2,81,88
4009,1,1,Lamba-Cyhalothrin,2,78,97
4010,1,0,Lamba-Cyhalothrin,1,238,91
4011,1,0,Chlormequat,3,226,91
4012,1,0,Lamba-Cyhalothrin,2,86,87
4013,0,1,Amidosulfuron,1,126,81
4014,0,0,Amidosulfuron,1,130,92
4015,0,0,Lamba-Cyhalothrin,2,145,87
4016,0,1,Lamba-Cyhalothrin,3,86,93
4017,1,0,Chlormequat,2,166,89
4018,1,1,Chlormequat,1,188,82
4019,1,1,Lamba-Cyhalothrin,1,85,95
4020,0,0,Chlormequat,2,185,95
4021,0,0,Chlormequat,3,177,84
4022,1,1,Chlormequat,2,267,91
4023,1,1,Chlormequat,2,272,98
4024,1,1,Lamba-Cyhalothrin,2,103,91
4025,0,0,Lamba-Cyhalothrin,3,192,82
4026,1,1,Lamba-Cyhalothrin,3,109,83
4027,1,1,Lamba-Cyhalothrin,3,120,86
4028,1,1,Chlormequat,1,158,99
4029,1,0,Chlormequat,1,264,97
4030,0,1,Amidosulfuron,1,107,89
4031,0,0,Lamba-Cyhalothrin,1,68,93
4032,1,1,Lamba-Cyhalothrin,3,154,89
4033,1,0,Amidosulfuron,2,138,85
4034,0,0,Chlormequat,1,215,91
4035,1,1,Amidosulfuron,2,207,80
4036,0,0,Lamba-Cyhalothrin,1,295,94
4037,0,0,Chlormequat,3,64,87
4038,0,0,Chlormequat,2,194,81
4039,1,0,Lamba-Cyhalothrin,2,198,85
